Identifier,Type,Contract number,Registration Doc,Identifier for schedule,Make and Model,Agreement Start Date,Agreement term (months),Agreement end date,Net Capital,VAT on Acquisition,RFL,Capital Cost,Arrangement Fee,Finance Interest,Initial Payment,Monthly Installment,Final Payment,Total Repayment,Check
HSBC 21,Motor Vehicle,314668,YF72UAU,YF72UAU,TRAFIC SL28 DCI 130 BUS,01 February 2023,48.0,01 February 2027,26486.0,5297.2,345.0,32128.2,50.0,14975.6,27866.0,2408.8,,143488.4,0.0
HSBC 21,Motor Vehicle,314668,YF72UFG,YF72UFG,TRAFIC SL28 DCI 130 BUS,01 February 2023,48.0,01 February 2027,26486.0,5297.2,345.0,32128.2,50.0,14975.6,27866.0,2408.8,,143488.4,0.0
HSBC 21,Motor Vehicle,314668,YF72SBU,YF72SBU,TRAFIC SL28 DCI 130 BUS,01 February 2023,48.0,01 February 2027,26486.0,5297.2,345.0,32128.2,50.0,14975.6,27866.0,2408.8,,143488.4,0.0
HSBC 21,Motor Vehicle,314668,YF72TTV,YF72TTV,TRAFIC SL28 DCI 130 BUS,01 February 2023,48.0,01 February 2027,26486.0,5297.2,345.0,32128.2,50.0,14975.6,27866.0,2408.8,,143488.4,0.0
HSBC 21,Motor Vehicle,315318,YF72OVO,YF72OVO,RENAULT TRAFICLL3O DCI SPORT,15 February 2023,48.0,15 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315318,YE72KNF,YE72KNF,RENAULT TRAFIC LL3O DCI SPORT,15 February 2023,48.0,15 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315318,YF72OVS,YF72OVS,RENAULT TRAFIC LL3O DCI SPORT,15 February 2023,48.0,15 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315318,YF72OWV,YF72OWV,RENAULT TRAFIC LL3O DCI SPORT,15 February 2023,48.0,15 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315318,YE72AHJ,YE72AHJ,RENAULT TRAFIC LL3O DCI SPORT,15 February 2023,48.0,15 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315612,LJ72 BZM,LJ72 BZM,Mitsubishi Canter 7.5t Vacuum Tanker,15 February 2023,60.0,15 February 2028,132160.0,26432.0,345.0,158592.0,50.0,22104.0,39648.0,2350.8,,180696.0,0.0
HSBC 21,Motor Vehicle,315800,YE72AHK,YE72AHK,RENAULT TRAFIC LL30 DCI SPORT VAN,21 February 2023,48.0,21 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315800,YE72AHL,YE72AHL,RENAULT TRAFIC LL30 DCI SPORT VAN,21 February 2023,48.0,21 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315800,YE72AHN,YE72AHN,RENAULT TRAFIC LL30 DCI SPORT VAN,21 February 2023,48.0,21 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315800,YE72AHP,YE72AHP,RENAULT TRAFIC LL30 DCI SPORT VAN,21 February 2023,48.0,21 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,315800,YF72OWJ,YF72OWJ,RENAULT TRAFIC LL30 DCI SPORT VAN,21 February 2023,48.0,21 February 2027,31140.0,6228.0,345.0,37713.0,50.0,21622.56,38925.0,3567.97,,210187.56,0.0
HSBC 21,Motor Vehicle,326046,CK24PHY,CK24PHY,AUDI A3,28 March 2024,48.0,27 March 2028,27412.5,5482.5,55.0,32950.0,100.0,4867.08,3295.0,719.21,,37817.08,0.0
HSBC 21,Motor Vehicle,326868,DY24HZE,DY24HZE,NISSAN INTERSTAR F35,09 April 2024,48.0,08 April 2028,44220.0,8844.0,375.0,53439.0,200.0,25325.52,52230.0,3892.74,,239081.52,0.0
HSBC 21,Motor Vehicle,326868,DY24HZD,DY24HZD,NISSAN INTERSTAR F35,09 April 2024,48.0,08 April 2028,44220.0,8844.0,375.0,53439.0,200.0,25325.52,52230.0,3892.74,,239081.52,0.0
HSBC 21,Motor Vehicle,326868,DY24HZC,DY24HZC,NISSAN INTERSTAR F35,09 April 2024,48.0,08 April 2028,44220.0,8844.0,375.0,53439.0,200.0,25325.52,52230.0,3892.74,,239081.52,0.0
HSBC 21,Motor Vehicle,326868,DY24HZA,DY24HZA,NISSAN INTERSTAR F35,09 April 2024,48.0,08 April 2028,44220.0,8844.0,375.0,53439.0,200.0,25325.52,52230.0,3892.74,,239081.52,0.0
HSBC 21,Motor Vehicle,323516,YB73RHX,YB73RHX,RENAULT TRAFIC LL30 DCI SPORT VAN,12 December 2023,60.0,11 December 2028,30870.0,6174.0,375.0,37419.0,100.0,16975.2,27357.0,1663.27,,127153.2,0.0
HSBC 21,Motor Vehicle,323516,HN73PFO,HN73PFO,HYUNDAI KONA HATCH CAR,12 December 2023,60.0,11 December 2028,29450.0,5890.0,0.0,35340.0,100.0,16975.2,27357.0,1663.27,,127153.2,0.0
HSBC 21,Motor Vehicle,323516,YB73PYO,YB73PYO,RENAULT TRAFIC LL30 DCI SPORT VAN,12 December 2023,60.0,11 December 2028,30870.0,6174.0,375.0,37419.0,100.0,16975.2,27357.0,1663.27,,127153.2,0.0
HSBC 21,Motor Vehicle,323274,YF73ETO,YF73ETO,NISSAN PRIMASTARS 30 L1H1 110 ACENTA,22 November 2023,60.0,21 November 2028,31166.0,6233.2,375.0,37774.2,100.0,29130.0,46749.0,2854.2,,218001.0,0.0
HSBC 21,Motor Vehicle,323274,YF23ETR,YF23ETR,NISSAN PRIMASTARS 30 L1H1 110 ACENTA,22 November 2023,60.0,21 November 2028,31166.0,6233.2,375.0,37774.2,100.0,29130.0,46749.0,2854.2,,218001.0,0.0
HSBC 21,Motor Vehicle,323274,YF73OYG,YF73OYG,NISSAN PRIMASTARS 30 L1H1 110 ACENTA,22 November 2023,60.0,21 November 2028,31166.0,6233.2,375.0,37774.2,100.0,29130.0,46749.0,2854.2,,218001.0,0.0
HSBC 21,Motor Vehicle,323274,YF73RVM,YF73RVM,NISSAN PRIMASTARS 30 L1H1 110 ACENTA,22 November 2023,60.0,21 November 2028,31166.0,6233.2,375.0,37774.2,100.0,29130.0,46749.0,2854.2,,218001.0,0.0
HSBC 21,Motor Vehicle,323274,YF73ZVS,YF73ZVS,NISSAN PRIMASTARS 30 L1H1 110 ACENTA,22 November 2023,60.0,21 November 2028,31166.0,6233.2,375.0,37774.2,100.0,29130.0,46749.0,2854.2,,218001.0,0.0
HSBC 21,Motor Vehicle,321393,HV73XZR,HV73XZR,HYUNDAI KONA HATCH CAR,09 October 2023,60.0,08 October 2028,29450.0,5890.0,55.0,35395.0,100.0,5877.2,8835.0,540.62,,41272.2,0.0
HSBC 21,Motor Vehicle,322851,BD73DYO,BD73DYO,NISSAN TOWNSTAR,25 October 2023,60.0,24 October 2028,34860.0,6972.0,55.0,41887.0,100.0,6866.0,10458.0,638.25,,48753.0,0.0
HSBC 31,Motor Vehicle,333520,YC74ZPK,YC74ZPK,RENAULT TRAFIC CREW  DCI ADVANCE,12 November 2024,48.0,11 November 2028,33390.0,6678.0,390.0,40458.0,300.0,9110.64,20034.0,1458.18,,90026.64,0.0
HSBC 31,Motor Vehicle,333520,YG74ZJZ,YG74ZJZ,RENAULT TRAFIC CREW  DCI ADVANCE,12 November 2024,48.0,11 November 2028,33390.0,6678.0,390.0,40458.0,300.0,9110.64,20034.0,1458.18,,90026.64,0.0
HSBC 32,Motor Vehicle,333953,YC74XAS,YC74XAS,RENAULT TRAFIC SL 30 BLUE DCI 130 ADVANCE,28 November 2024,48.0,27 November 2028,29310.0,5862.0,390.0,35562.0,200.0,16013.28,35172.0,2564.36,,158261.28,0.0
HSBC 32,Motor Vehicle,333953,YC74XDF,YC74XDF,RENAULT TRAFIC SL 30 BLUE DCI 130 ADVANCE,28 November 2024,48.0,27 November 2028,29310.0,5862.0,390.0,35562.0,200.0,16013.28,35172.0,2564.36,,158261.28,0.0
HSBC 32,Motor Vehicle,333953,YC74XMJ,YC74XMJ,RENAULT TRAFIC SL 30 BLUE DCI 130 ADVANCE,28 November 2024,48.0,27 November 2028,29310.0,5862.0,390.0,35562.0,200.0,16013.28,35172.0,2564.36,,158261.28,0.0
HSBC 32,Motor Vehicle,333953,YC74XMH,YC74XMH,RENAULT TRAFIC SL 30 BLUE DCI 130 ADVANCE,28 November 2024,48.0,27 November 2028,29310.0,5862.0,390.0,35562.0,200.0,16013.28,35172.0,2564.36,,158261.28,0.0
HSBC 33,Motor Vehicle,334237,YB24UVD,YB24UVD,CITROEN RELAY 62 H2,05 December 2024,48.0, 04/12/2028,40645.0,8129.0,390.0,49164.0,250.0,21882.48,50334.0,3504.26,,218538.48,0.0
HSBC 33,Motor Vehicle,334237,YB24UWV,YB24UWV,CITROEN RELAY 62 H2,05 December 2024,48.0, 04/12/2028,40645.0,8129.0,390.0,49164.0,250.0,21882.48,50334.0,3504.26,,218538.48,0.0
HSBC 33,Motor Vehicle,334237,YB24UTN,YB24UTN,CITROEN RELAY 62 H2,05 December 2024,48.0, 04/12/2028,40645.0,8129.0,390.0,49164.0,250.0,21882.48,50334.0,3504.26,,218538.48,0.0
